ID_Socio,Edad,Genero,Ciudad,Fecha_Inscripcion,Estatus
SOC-2001,58,Masculino,CDMX,2025-01-14,Activo
SOC-2002,35,Masculino,Guadalajara,2024-03-12,Cancelado
SOC-2003,65,Masculino,Mérida,2025-01-14,Activo
SOC-2004,52,Masculino,Querétaro,2024-08-04,Activo
SOC-2005,20,Masculino,CDMX,2024-04-21,Activo
SOC-2006,32,Otro,Querétaro,2024-01-14,Activo
SOC-2007,53,Masculino,Mérida,2024-11-28,Activo
SOC-2008,62,Otro,Puebla,2024-04-22,Inactivo
SOC-2009,46,Otro,Monterrey,2025-02-18,Activo
SOC-2010,18,Masculino,Mérida,2024-08-04,Activo
SOC-2011,39,Femenino,Guadalajara,2024-04-20,Activo
SOC-2012,66,Femenino,CDMX,2024-02-17,Cancelado
SOC-2013,42,Masculino,Monterrey,2025-03-09,Inactivo
SOC-2014,40,Otro,Monterrey,2025-02-17,Activo
SOC-2015,20,Otro,Puebla,2024-10-01,Activo
SOC-2016,25,Femenino,CDMX,2024-10-09,Activo
SOC-2017,36,Otro,Querétaro,2025-03-29,Activo
SOC-2018,41,Otro,Guadalajara,2024-12-26,Activo
SOC-2019,22,Masculino,Mérida,2024-04-26,Activo
SOC-2020,67,Femenino,CDMX,2025-03-13,Activo
SOC-2021,32,Masculino,Puebla,2024-05-22,Activo
SOC-2022,47,Otro,Tijuana,2024-07-05,Activo
SOC-2023,28,Femenino,Monterrey,2024-04-17,Activo
SOC-2024,60,Femenino,Mérida,2025-04-24,Activo
SOC-2025,61,Otro,CDMX,2024-11-07,Activo
SOC-2026,58,Masculino,Querétaro,2025-01-08,Inactivo
SOC-2027,33,Masculino,Puebla,2024-07-13,Activo
SOC-2028,35,Otro,Mérida,2024-10-12,Activo
SOC-2029,32,Otro,Monterrey,2025-03-07,Activo
SOC-2030,67,Masculino,Guadalajara,2025-02-24,Activo
SOC-2031,20,Femenino,Puebla,2024-05-17,Activo
SOC-2032,22,Masculino,Querétaro,2025-03-24,Activo
SOC-2033,63,Femenino,Guadalajara,2024-12-01,Activo
SOC-2034,49,Femenino,Mérida,2024-08-22,Cancelado
SOC-2035,27,Femenino,Guadalajara,2024-05-06,Cancelado
SOC-2036,65,Otro,Querétaro,2024-05-14,Inactivo
SOC-2037,65,Otro,Puebla,2025-04-04,Activo
SOC-2038,55,Femenino,Monterrey,2024-04-22,Activo
SOC-2039,26,Otro,Puebla,2024-02-16,Activo
SOC-2040,66,Masculino,Tijuana,2024-02-26,Activo
SOC-2041,27,Otro,Guadalajara,2025-02-09,Activo
SOC-2042,61,Femenino,Querétaro,2024-02-02,Activo
SOC-2043,42,Femenino,Querétaro,2024-08-27,Activo
SOC-2044,51,Femenino,Querétaro,2025-03-16,Cancelado
SOC-2045,18,Otro,Mérida,2024-02-28,Activo
SOC-2046,61,Otro,Tijuana,2024-05-16,Activo
SOC-2047,67,Otro,Monterrey,2024-02-27,Activo
SOC-2048,36,Femenino,Guadalajara,2024-08-20,Activo
SOC-2049,18,Otro,Mérida,2024-05-14,Activo
SOC-2050,50,Masculino,Querétaro,2025-04-12,Activo
SOC-2051,24,Otro,Monterrey,2025-03-06,Cancelado
SOC-2052,58,Otro,Querétaro,2024-04-11,Inactivo
SOC-2053,27,Femenino,Tijuana,2024-03-23,Cancelado
SOC-2054,52,Otro,CDMX,2024-11-02,Inactivo
SOC-2055,38,Femenino,CDMX,2024-02-27,Activo
SOC-2056,41,Femenino,Guadalajara,2024-01-30,Cancelado
SOC-2057,33,Otro,CDMX,2024-02-13,Activo
SOC-2058,64,Femenino,Tijuana,2024-02-05,Activo
SOC-2059,66,Otro,Tijuana,2024-03-05,Activo
SOC-2060,26,Otro,Puebla,2025-04-29,Activo
SOC-2061,53,Masculino,Monterrey,2024-09-27,Activo
SOC-2062,56,Femenino,Guadalajara,2025-04-20,Activo
SOC-2063,52,Otro,Mérida,2024-04-12,Inactivo
SOC-2064,63,Femenino,Puebla,2024-12-09,Activo
SOC-2065,59,Femenino,Puebla,2025-04-05,Activo
SOC-2066,51,Femenino,CDMX,2024-05-06,Activo
SOC-2067,32,Masculino,Monterrey,2024-01-11,Activo
SOC-2068,55,Otro,Guadalajara,2024-10-28,Inactivo
SOC-2069,32,Masculino,CDMX,2024-12-28,Activo
SOC-2070,58,Masculino,Guadalajara,2024-02-04,Cancelado
SOC-2071,20,Femenino,CDMX,2024-09-20,Inactivo
SOC-2072,33,Femenino,Mérida,2024-09-05,Activo
SOC-2073,31,Otro,Guadalajara,2025-01-05,Activo
SOC-2074,54,Otro,Puebla,2024-05-04,Inactivo
SOC-2075,68,Femenino,Tijuana,2024-07-27,Activo
SOC-2076,30,Masculino,CDMX,2024-12-03,Activo
SOC-2077,45,Femenino,Puebla,2024-07-29,Inactivo
SOC-2078,47,Otro,CDMX,2024-12-10,Activo
SOC-2079,59,Otro,CDMX,2024-02-01,Activo
SOC-2080,43,Otro,Monterrey,2025-02-13,Activo
SOC-2081,24,Masculino,Guadalajara,2024-04-07,Inactivo
SOC-2082,52,Femenino,Guadalajara,2024-08-04,Activo
SOC-2083,29,Femenino,Puebla,2024-05-07,Activo
SOC-2084,22,Femenino,Tijuana,2025-03-17,Activo
SOC-2085,53,Masculino,CDMX,2024-11-29,Activo
SOC-2086,52,Masculino,CDMX,2025-04-19,Activo
SOC-2087,66,Masculino,Guadalajara,2024-07-27,Activo
SOC-2088,49,Femenino,Guadalajara,2025-03-18,Activo
SOC-2089,43,Masculino,Guadalajara,2024-07-13,Inactivo
SOC-2090,18,Femenino,Monterrey,2025-04-19,Activo
SOC-2091,68,Femenino,Monterrey,2024-08-04,Activo
SOC-2092,62,Otro,Tijuana,2024-10-11,Activo
SOC-2093,60,Otro,Puebla,2024-03-20,Inactivo
SOC-2094,30,Femenino,Guadalajara,2025-05-10,Activo
SOC-2095,21,Otro,Mérida,2024-10-04,Inactivo
SOC-2096,21,Otro,Monterrey,2024-01-30,Activo
SOC-2097,21,Otro,Puebla,2024-09-14,Activo
SOC-2098,51,Masculino,CDMX,2025-05-06,Activo
SOC-2099,50,Masculino,Tijuana,2024-04-05,Activo
SOC-2100,22,Otro,CDMX,2024-12-11,Activo
SOC-2101,33,Femenino,CDMX,2025-04-27,Activo
SOC-2102,54,Masculino,Querétaro,2024-10-31,Activo
SOC-2103,20,Otro,CDMX,2024-08-02,Activo
SOC-2104,60,Otro,Querétaro,2024-09-24,Activo
SOC-2105,38,Femenino,Guadalajara,2024-12-08,Cancelado
SOC-2106,63,Femenino,Guadalajara,2024-05-15,Activo
SOC-2107,43,Masculino,Mérida,2024-11-26,Activo
SOC-2108,37,Femenino,Monterrey,2025-04-20,Inactivo
SOC-2109,66,Masculino,CDMX,2024-08-22,Activo
SOC-2110,57,Otro,CDMX,2024-02-07,Activo
SOC-2111,52,Masculino,Querétaro,2024-05-15,Activo
SOC-2112,26,Femenino,CDMX,2025-03-26,Activo
SOC-2113,33,Femenino,Monterrey,2024-03-21,Cancelado
SOC-2114,46,Otro,Mérida,2024-06-03,Inactivo
SOC-2115,57,Otro,Querétaro,2024-01-05,Activo
SOC-2116,60,Otro,Monterrey,2025-04-22,Inactivo
SOC-2117,60,Masculino,Guadalajara,2024-05-15,Inactivo
SOC-2118,25,Masculino,Mérida,2024-10-10,Activo
SOC-2119,27,Femenino,Monterrey,2024-11-05,Inactivo
SOC-2120,31,Otro,Monterrey,2024-04-14,Activo
SOC-2121,61,Otro,Tijuana,2024-05-15,Inactivo
SOC-2122,50,Femenino,Monterrey,2025-04-08,Inactivo
SOC-2123,21,Masculino,Mérida,2024-08-04,Activo
SOC-2124,35,Masculino,CDMX,2024-06-19,Activo
SOC-2125,67,Masculino,Mérida,2024-05-14,Activo
SOC-2126,28,Otro,Puebla,2024-10-09,Activo
SOC-2127,63,Femenino,Querétaro,2024-01-05,Inactivo
SOC-2128,25,Masculino,Mérida,2025-04-07,Inactivo
SOC-2129,27,Otro,CDMX,2025-03-03,Activo
SOC-2130,41,Otro,Querétaro,2024-03-16,Activo
SOC-2131,45,Masculino,CDMX,2024-06-06,Activo
SOC-2132,41,Masculino,Monterrey,2024-04-17,Activo
SOC-2133,61,Masculino,Mérida,2024-02-22,Activo
SOC-2134,40,Otro,Tijuana,2024-07-27,Activo
SOC-2135,57,Otro,Guadalajara,2025-04-18,Cancelado
SOC-2136,33,Masculino,Tijuana,2025-02-19,Activo
SOC-2137,29,Femenino,CDMX,2024-04-01,Activo
SOC-2138,65,Femenino,Tijuana,2025-04-21,Activo
SOC-2139,44,Otro,Tijuana,2025-01-11,Activo
SOC-2140,69,Masculino,Monterrey,2024-03-22,Cancelado
SOC-2141,68,Otro,CDMX,2024-07-14,Cancelado
SOC-2142,20,Femenino,Guadalajara,2024-04-12,Activo
SOC-2143,70,Femenino,Monterrey,2024-06-05,Activo
SOC-2144,70,Masculino,Guadalajara,2024-01-13,Activo
SOC-2145,60,Masculino,Puebla,2024-06-17,Activo
SOC-2146,35,Masculino,Tijuana,2024-05-22,Activo
SOC-2147,40,Otro,Querétaro,2024-07-23,Activo
SOC-2148,61,Otro,Monterrey,2025-04-25,Activo
SOC-2149,19,Masculino,Monterrey,2024-04-01,Activo
SOC-2150,55,Femenino,CDMX,2024-02-25,Activo
SOC-2151,56,Femenino,Monterrey,2025-01-08,Cancelado
SOC-2152,68,Femenino,Puebla,2024-11-06,Activo
SOC-2153,50,Masculino,Puebla,2025-04-05,Activo
SOC-2154,54,Masculino,Monterrey,2024-01-23,Activo
SOC-2155,63,Femenino,CDMX,2024-09-23,Cancelado
SOC-2156,69,Otro,Mérida,2025-01-03,Activo
SOC-2157,65,Otro,Mérida,2024-04-10,Activo
SOC-2158,41,Femenino,CDMX,2025-04-30,Inactivo
SOC-2159,60,Femenino,Querétaro,2024-06-09,Activo
SOC-2160,60,Masculino,Mérida,2025-04-05,Activo
SOC-2161,37,Otro,Monterrey,2024-12-07,Activo
SOC-2162,44,Femenino,Puebla,2024-12-22,Activo
SOC-2163,36,Otro,Guadalajara,2024-04-08,Activo
SOC-2164,44,Otro,Puebla,2024-12-12,Activo
SOC-2165,65,Masculino,Querétaro,2024-10-18,Activo
SOC-2166,37,Femenino,Querétaro,2025-03-02,Inactivo
SOC-2167,18,Femenino,Monterrey,2024-04-17,Activo
SOC-2168,45,Otro,Querétaro,2024-12-01,Activo
SOC-2169,38,Femenino,Puebla,2024-08-14,Activo
SOC-2170,61,Masculino,Querétaro,2024-08-30,Activo
SOC-2171,68,Otro,Guadalajara,2024-12-03,Activo
SOC-2172,23,Femenino,Querétaro,2024-12-05,Activo
SOC-2173,58,Otro,Monterrey,2024-02-17,Activo
SOC-2174,70,Masculino,Mérida,2024-06-07,Activo
SOC-2175,32,Masculino,Guadalajara,2024-01-13,Activo
SOC-2176,20,Masculino,Puebla,2024-11-08,Activo
