ID_Transaccion,ID_Socio,ID_Producto,Fecha,Monto_Final,Metodo_Pago
TRX-90001,SOC-3290,PROD-502,2025-04-05,1300.0,Tarjeta de Débito
TRX-90002,SOC-2740,PROD-506,2025-07-27,550.0,Tarjeta de Débito
TRX-90003,SOC-2705,PROD-501,2025-02-25,532.9300000000001,Tarjeta de Crédito
TRX-90004,SOC-3182,PROD-510,2025-10-27,75.0,Tarjeta de Crédito
TRX-90005,SOC-3599,PROD-505,2024-12-29,480.0,Transferencia SPEI
TRX-90006,SOC-3587,PROD-512,2025-04-02,35.0,Transferencia SPEI
TRX-90007,SOC-3257,PROD-505,2025-04-19,480.0,Tarjeta de Crédito
TRX-90008,SOC-3779,PROD-503,2025-10-17,6999.0,Tarjeta de Débito
TRX-90009,SOC-2864,PROD-511,2025-09-19,50.0,Efectivo
TRX-90010,SOC-2163,PROD-503,2024-12-17,6999.0,Tarjeta de Débito
TRX-90011,SOC-3338,PROD-505,2025-12-28,480.0,Transferencia SPEI
TRX-90012,SOC-2556,PROD-508,2026-03-10,250.0,Tarjeta de Débito
TRX-90013,SOC-3532,PROD-510,2025-06-17,75.0,Transferencia SPEI
TRX-90014,SOC-2343,PROD-503,2024-01-24,6402.73,Tarjeta de Débito
TRX-90015,SOC-3524,PROD-512,2026-02-06,32.37,Efectivo
TRX-90016,SOC-2196,PROD-502,2025-04-29,1300.0,Efectivo
TRX-90017,SOC-3579,PROD-507,2025-06-20,750.0,Efectivo
TRX-90018,SOC-2213,PROD-505,2025-09-24,480.0,Transferencia SPEI
TRX-90019,SOC-2634,PROD-504,2024-09-10,950.0,Transferencia SPEI
TRX-90020,SOC-3284,PROD-503,2024-05-14,6999.0,Tarjeta de Crédito
TRX-90021,SOC-2059,PROD-501,2025-11-10,650.0,Tarjeta de Débito
TRX-90022,SOC-3770,PROD-508,2025-04-23,250.0,Tarjeta de Débito
TRX-90023,SOC-3124,PROD-508,2024-05-18,250.0,Tarjeta de Crédito
TRX-90024,SOC-3211,PROD-510,2025-04-12,75.0,Transferencia SPEI
TRX-90025,SOC-3073,PROD-511,2025-10-16,50.0,Tarjeta de Débito
TRX-90026,SOC-2987,PROD-509,2024-08-20,400.0,Transferencia SPEI
TRX-90027,SOC-2631,PROD-506,2025-02-26,550.0,Tarjeta de Débito
TRX-90028,SOC-2022,PROD-501,2025-06-19,650.0,Tarjeta de Crédito
TRX-90029,SOC-2705,PROD-505,2025-04-25,480.0,Transferencia SPEI
TRX-90030,SOC-3548,PROD-508,2024-11-02,221.36,Tarjeta de Débito
TRX-90031,SOC-3223,PROD-504,2026-03-26,849.26,Transferencia SPEI
TRX-90032,SOC-3149,PROD-507,2025-02-08,750.0,Transferencia SPEI
TRX-90033,SOC-3697,PROD-507,2024-08-13,750.0,Transferencia SPEI
TRX-90034,SOC-3281,PROD-504,2025-06-13,950.0,Tarjeta de Débito
TRX-90035,SOC-2584,PROD-511,2026-01-30,50.0,Tarjeta de Débito
TRX-90036,SOC-2846,PROD-504,2024-03-11,950.0,Tarjeta de Débito
TRX-90037,SOC-2227,PROD-511,2025-04-11,50.0,Tarjeta de Débito
TRX-90038,SOC-3435,PROD-510,2025-05-18,75.0,Efectivo
TRX-90039,SOC-2312,PROD-501,2025-07-01,522.7,Tarjeta de Débito
TRX-90040,SOC-2552,PROD-503,2026-01-02,6999.0,Efectivo
TRX-90041,SOC-2477,PROD-502,2024-06-03,1192.65,Transferencia SPEI
TRX-90042,SOC-2639,PROD-508,2025-01-15,250.0,Efectivo
TRX-90043,SOC-2677,PROD-502,2026-02-07,1300.0,Efectivo
TRX-90044,SOC-2546,PROD-507,2024-03-14,750.0,Tarjeta de Crédito
